Exp. RT (min),MW,Mass,Peak Area,Signal,Vial
min,Da,mg,nRU mg/mL, nRU,-,-
9.589,6085000,0.4,126804.1404,RID,PS-H_Red
10.072,2811000,0.4,114595.5578,RID,PS-H_White
11.012,935000,0.4,138614.2579,RID,PS-H_Blue
11.633,474500,0.8,261436.4064,RID,PS-H_Red
11.827,365000,0.4,121704.3268,RID,PS-M_Red
12.416,182200,0.4,125771.1374,RID,PS-M_White
12.426,182200,0.8,238750.0088,RID,PS-H_White
13.058,87200,0.4,156774.0055,RID,PS-M_Blue
13.304,66600,0.8,279304.6784,RID,PS-H_Blue
13.536,50700,0.8,251272.3461,RID,PS-M_Red
14.089,26390,0.8,253155.9238,RID,PS-M_White
14.324,20140,1.2,402779.1459,RID,PS-H_Red
14.797,11720,0.8,317290.7189,RID,PS-M_Blue
14.836,11140,1.2,370993.0923,RID,PS-H_White
15.23,6920,1.2,377196.3628,RID,PS-M_Red
15.515,4950,1.2,412921.2948,RID,PS-H_Blue
15.86,3260,1.2,379526.561,RID,PS-M_White
16.74,1180,1.2,429679.4961,RID,PS-M_Blue
16.749,1180,1.6,486966.5221,RID,PS-H_Red
16.964,935,1.6,469788.6614,RID,PS-M_Red
17.302,580,1.6,409413.0632,RID,PS-H_White
17.706,370,1.6,382264.8297,RID,PS-M_White
18.59,162,1.6,127525.9687,RID,PS-H_Blue
18.594,162,1.6,153451.42,RID,PS-M_Blue
19.699,,,13501709.4735,RID,V0
